Project 4, CS420,
 Artificial, Neural Nets,
Completed by:, Ksenia Burova,
,,
Epoch #, RMSE,
98200,0.005681625,
98300,0.005679461,
98400,0.005677301,
98500,0.005675146,
98600,0.005672997,
98700,0.005670853,
98800,0.005668713,
98900,0.005666579,
99000,0.005664449,
99100,0.005662325,
99200,0.005660206,
99300,0.005658092,
99400,0.005655982,
99500,0.005653878,
99600,0.005651779,
99700,0.005649684,
99800,0.005647595,
99900,0.00564551,
100000,0.005643431,
100100,0.005641356,
100200,0.005639286,
100300,0.005637221,
100400,0.005635161,
100500,0.005633106,
100600,0.005631056,
100700,0.005629011,
100800,0.00562697,
100900,0.005624935,
101000,0.005622904,
101100,0.005620878,
101200,0.005618857,
101300,0.00561684,
101400,0.005614829,
101500,0.005612822,
101600,0.00561082,
101700,0.005608823,
101800,0.005606831,
101900,0.005604843,
102000,0.00560286,
102100,0.005600882,
102200,0.005598909,
102300,0.00559694,
102400,0.005594976,
102500,0.005593017,
102600,0.005591063,
102700,0.005589113,
102800,0.005587168,
102900,0.005585227,
103000,0.005583292,
103100,0.005581361,
103200,0.005579434,
103300,0.005577512,
103400,0.005575595,
103500,0.005573683,
103600,0.005571775,
103700,0.005569872,
103800,0.005567973,
103900,0.005566079,
104000,0.005564189,
104100,0.005562304,
104200,0.005560424,
104300,0.005558548,
104400,0.005556677,
104500,0.00555481,
104600,0.005552948,
104700,0.005551091,
104800,0.005549237,
104900,0.005547389,
105000,0.005545545,
105100,0.005543705,
105200,0.00554187,
105300,0.005540039,
105400,0.005538213,
105500,0.005536391,
105600,0.005534574,
105700,0.005532761,
105800,0.005530953,
105900,0.005529149,
106000,0.005527349,
106100,0.005525554,
106200,0.005523763,
106300,0.005521977,
106400,0.005520195,
106500,0.005518417,
106600,0.005516644,
106700,0.005514875,
106800,0.00551311,
106900,0.00551135,
107000,0.005509594,
107100,0.005507842,
107200,0.005506095,
107300,0.005504351,
107400,0.005502612,
107500,0.005500878,
107600,0.005499147,
107700,0.005497421,
107800,0.005495699,
107900,0.005493982,
108000,0.005492268,
108100,0.005490559,
108200,0.005488854,
108300,0.005487153,
108400,0.005485456,
108500,0.005483764,
108600,0.005482075,
108700,0.005480391,
108800,0.005478711,
108900,0.005477035,
109000,0.005475363,
109100,0.005473695,
109200,0.005472031,
109300,0.005470372,
109400,0.005468716,
109500,0.005467064,
109600,0.005465417,
109700,0.005463773,
109800,0.005462134,
109900,0.005460498,
110000,0.005458867,
110100,0.005457239,
110200,0.005455616,
110300,0.005453996,
110400,0.005452381,
110500,0.005450769,
110600,0.005449161,
110700,0.005447557,
110800,0.005445958,
110900,0.005444362,
111000,0.005442769,
111100,0.005441181,
111200,0.005439597,
111300,0.005438016,
111400,0.005436439,
111500,0.005434866,
111600,0.005433297,
111700,0.005431732,
111800,0.005430171,
111900,0.005428613,
112000,0.005427059,
112100,0.005425509,
112200,0.005423962,
112300,0.005422419,
112400,0.00542088,
112500,0.005419345,
112600,0.005417814,
112700,0.005416286,
112800,0.005414761,
112900,0.005413241,
113000,0.005411724,
113100,0.00541021,
113200,0.005408701,
113300,0.005407195,
113400,0.005405692,
113500,0.005404193,
113600,0.005402698,
113700,0.005401206,
113800,0.005399718,
113900,0.005398233,
114000,0.005396752,
114100,0.005395274,
114200,0.0053938,
114300,0.00539233,
114400,0.005390862,
114500,0.005389399,
114600,0.005387938,
114700,0.005386481,
114800,0.005385028,
114900,0.005383578,
115000,0.005382131,
115100,0.005380688,
115200,0.005379248,
115300,0.005377812,
115400,0.005376379,
115500,0.005374949,
115600,0.005373523,
115700,0.0053721,
115800,0.00537068,
115900,0.005369263,
116000,0.00536785,
116100,0.00536644,
116200,0.005365033,
116300,0.00536363,
116400,0.00536223,
116500,0.005360832,
116600,0.005359439,
116700,0.005358048,
116800,0.005356661,
116900,0.005355276,
117000,0.005353895,
117100,0.005352517,
117200,0.005351142,
117300,0.005349771,
117400,0.005348402,
